"id";"area_construida_m2";"Bairro";"Cep";"cidade_uf";"Endereço";"fim_termo_convenio";"situacao_termo_convenio";"termo_convenio";"Situação";"uf"
"1014600";NA;"Novo Horizonte                                                                                      ";"69373-000";"Rorainópolis                        - RR";"Rua Daniela Perez, Quadra 16, 00 ";"15/05/2017";"Vigente";"9858/2014";"
                            
                            Licitação";"RR"
"1001608";781.26;"Centro                                                                                              ";"96878-000";"Vale do Sol                        - RS";"Rua da Emancipação,  288 ";"28/09/2016";"Vigente";"5144/2013";"
                            
                            Licitação";"RS"
"1016308";NA;"Centro                                                                                              ";"98920-000";"Horizontina                        - RS";"RUA BALDUINO SCHNEIDER,  000 ";"31/07/2016";"Vigente";"34103/2014";"
                            
                            Licitação";"RS"
"1014620";NA;"São João (Margem Esquerda)                                                                          ";"88708-071";"Tubarão                        - SC";"Rua Manoel Jovêncio da Costa, loteamento, 7 ";"30/05/2017";"Vigente";"10028/2014";"
                            
                            Licitação";"SC"
"1018047";NA;"Rainha                                                                                              ";"89162-024";"Rio do Sul                        - SC";"Estrada Willand Kurth, Terreno, 000 ";"30/06/2017";"Vigente";"31361/2014";"
                            
                            Licitação";"SC"
"20083";NA;"ALBANO FRANCO                                                                                       ";"49200-000";"Estância                        - SE";"Estrada da Estancinha, CONJUNTO ALBANO FRANCO,  ";"28/02/2017";"Vigente";"4004/2013";"
                            
                            Licitação";"SE"
"1012875";NA;"ZONA RURAL                                                                                          ";"49320-000";"Riachão do Dantas                        - SE";"AVENIDA SANTO ANTONIO, POVOADO TANQUE NOVO,  ";"20/03/2017";"Vigente";"11406/2014";"
                            
                            Licitação";"SE"
"1014634";NA;"Estufa 2                                                                                            ";"11680-000";"Ubatuba                        - SP";"Av São Paulo,  00 ";"20/12/2017";"Vigente";"11195/2014";"
                            
                            Licitação";"SP"
"1004966";NA;"Jardim Nossa Senhora de Fátima                                                                      ";"18276-900";"Tatuí                        - SP";"SABESP Rua Santa Cruz, 2431,  000 ";"28/10/2016";"Vigente";"6388/2013";"
                            
                            Licitação";"SP"
"1006893";NA;"Setor Central                                                                                       ";"77958-000";"São Bento do Tocantins                        - TO";"Av Vereador José Antonio Leal,  100 ";"30/01/2017";"Vigente";"7366/2013";"
                            
                            Licitação";"TO"
"1006891";NA;"Jardim Medeiros                                                                                     ";"77430-010";"Gurupi                        - TO";"Avenida Planalto, Quadra G,  ";"15/03/2017";"Vigente";"7365/2013";"
                            
                            Licitação";"TO"
"1018483";NA;"Lot. Rosalinda";"69900-000";"Rio Branco                        - AC";"Rua Raimundo Targuino, Loteamento Rosalinda, 00 ";"31/07/2016";"Vigente";"33946/2014";"
                            
                            Obra Cancelada";"AC"
"1018474";NA;"XAVIER MAIA";"69900-000";"Rio Branco                        - AC";"Rua Sanhaçu, LOT. ANDIRÁ, 00 ";"31/12/2016";"Vigente";"46694/2014";"
                            
                            Obra Cancelada";"AC"
"18061";2850;"Centro";"57244-000";"Jequiá da Praia                        - AL";"Rua do Oitizeiro, Terreno,  ";"30/04/2014";"Vencido";"249/2011";"
                            
                            Obra Cancelada";"AL"
"25478";NA;"Pascoal Alagio";"69153-010";"Parintins                        - AM";"Avenida Santo Antonio,   ";"23/06/2014";"Vencido";"3611/2012";"
                            
                            Obra Cancelada";"AM"
"1009922";NA;"ZONA RURAL                                                                                          ";"69520-000";"Juruá                        - AM";"COMUNIDADE BOCA DO JACARÉ, RIO JURUÁ,  ";"28/02/2017";"Vigente";"19372/2014";"
                            
                            Obra Cancelada";"AM"
"1010650";NA;"São Cristóvão                                                                                       ";"41510-075";"Salvador                        - BA";"Estrada Margaridas, Cia Aeroporto,  ";"17/04/2016";"Vencido";"7715/2013";"
                            
                            Obra Cancelada";"BA"
"32920";NA;"VICENTE PINZON                                                                                      ";"60000-000";"Fortaleza                        - CE";"RUA OLIVEIRA FILHO, .,  ";"02/09/2016";"Vigente";"4111/2013";"
                            
                            Obra Cancelada";"CE"
"32923";NA;"JARDIM IRACEMA                                                                                      ";"60000-000";"Fortaleza                        - CE";"RUA GENERAL TOME CORDEIRO, ESQUINA COM RUA BELÉM DE FIGUEIREDO,  ";"02/09/2016";"Vigente";"4111/2013";"
                            
                            Obra Cancelada";"CE"
"25619";NA;"Parque das Gaivotas                                                                                 ";"29100-000";"Vila Velha                        - ES";"Rua Praia 1,   ";"29/06/2017";"Vigente";"4107/2013";"
                            
                            Obra Cancelada";"ES"
"25618";NA;"Ulisses Guimarães                                                                                   ";"29100-000";"Vila Velha                        - ES";"Av. Seringal, Com a Rua Bahia, 00 ";"29/06/2017";"Vigente";"4107/2013";"
                            
                            Obra Cancelada";"ES"
"1001380";NA;"Valparaiso I - E                                                                                    ";"72876-535";"Valparaíso de Goiás                        - GO";"Quadra 7, AREA INSTITUCIONAL, 00 ";"30/09/2016";"Vigente";"5094/2013";"
                            
                            Obra Cancelada";"GO"
"1003784";NA;"MANSÕES ODISSEIA                                                                                    ";"72910-000";"Águas Lindas de Goiás                        - GO";"RUA B-TRÊS, QUADRA 01,  00 ";"14/10/2016";"Vigente";"5839/2013";"
                            
                            Obra Cancelada";"GO"
"29757";NA;"RURAL";"65730-000";"Santo Antônio dos Lopes                        - MA";"RUA PRINCIPAL DO POVOADO LOGOA DO PASCOAL, POVOADO LAGOA DO PASCOAL,  ";"29/02/2016";"Vencido";"7499/2014";"
                            
                            Obra Cancelada";"MA"
"1014310";NA;"Cajupari                                                                                            ";"65000-000";"São Luís                        - MA";"Rua São Raimundo,   ";"24/03/2018";"Vigente";"9303/2014";"
                            
                            Obra Cancelada";"MA"
"1012734";NA;"Jardim Laguna                                                                                       ";"32140-160";"Contagem                        - MG";"Rua Sequóia,   ";"23/03/2016";"Vencido";"8808/2014";"
                            
                            Obra Cancelada";"MG"
"1016579";NA;"Jardim Panorama                                                                                     ";"35164-181";"Ipatinga                        - MG";"Rua Wilson Teixeira,  821 ";"24/08/2016";"Vigente";"10135/2014";"
                            
                            Obra Cancelada";"MG"
"1016209";NA;"Estrada Baiana                                                                                      ";"78560-000";"Porto dos Gaúchos                        - MT";"Estrada Baiana - MT 338, Prédio, 00 ";"30/06/2016";"Vigente";"29763/2014";"
                            
                            Obra Cancelada";"MT"
"19757";NA;"Centro";"68365-000";"Anapu                        - PA";"Rodovia Transamazônica,   ";"28/08/2013";"Vencido";"1536/2011";"
                            
                            Obra Cancelada";"PA"
"1006017";NA;"JOÃO PAULO II                                                                                       ";"68721-000";"Salinópolis                        - PA";"AV.SÃO SEBASTIÃO,  00 ";"31/01/2016";"Vencido";"17537/2014";"
                            
                            Obra Cancelada";"PA"
"24768";NA;"Boa Vista";"55004-000";"Caruaru                        - PE";"Via Local 25,   ";"11/12/2016";"Vigente";"10933/2014";"
                            
                            Obra Cancelada";"PE"
"24602";NA;"Santa Rosa";"64012-410";"Teresina                        - PI";"Rua Francisco Nunes da Rocha, Parque Wall Ferraz - PQ Estael Freire ,  ";"20/05/2017";"Vigente";"8424/2014";"
                            
                            Obra Cancelada";"PI"
"1012807";NA;"Angelim                                                                                             ";"64040-542";"Teresina                        - PI";"Rua São Jorge, Vila Irmã Dulce  ,  ";"22/03/2017";"Vigente";"8977/2014";"
                            
                            Obra Cancelada";"PI"
